"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Dickson County Landfill","SNL220000065","CLASS I","Inactive","DICKSON COUNTY GOVERNMENT","100 Virgil Bellar Drive","Dickson","Dickson","JAN-01-1972","856","SNL220000065","36.065278","-87.425","37055","-","-","8595"
"Kirk Landfill","SNL230000040","CLASS I","Inactive","JERE KIRK","Dyersburg","Dyersburg","Dyer","JAN-01-1972","857","SNL230000040","36.057039","-89.446044","-","-","LANDFILL","54001"
"Newbern Town Landfill","SNL230000058","CLASS I","Inactive","CITY OF NEWBERN","5325 Roellen Newbern Road","Newbern","Dyer","JAN-01-1972","858","SNL230000058","36.095833","-89.281944","-","-","LANDFILL","44081"
"Dyersburg City Landfill","SNL230000218","CLASS I","Active","CITY OF DYERSBURG","Sorrell Chapel Road","Dyersburg","Dyer","JAN-01-1987","859","SNL230000218","35.989072","-89.36594","38025","-","LANDFILL TIRE STORAGE/@ LANDFILL","22813"
"Jere Kirk Disposal","SNL230000225","CLASS I","Inactive","JERE KIRK","Dyersburg","Dyersburg","Dyer","JAN-01-1972","860","SNL230000225","36.057039","-89.446044","-","-","LANDFILL (PR) SPECIAL WASTES","54001"
"Fayette County Landfill","SNL240000079","CLASS I","Inactive","FAYETTE COUNTY GOVERNMENT","11675 Highway 76 South","Somerville","Fayette","JAN-01-1982","861","SNL240000079","35.22514","-89.35331","38068","-","LANDFILL TIRE STORAGE","32613"
"Fayette County Class I Landfill","SNL240000263","CLASS I","Inactive","FAYETTE COUNTY GOVERNMENT","11675 Highway 76 South","Somerville","Fayette","AUG-27-1993","862","SNL240000263","35.22514","-89.35331","38068","-","LANDFILL","32613"
"Fentress County Landfill","SNL250000112","CLASS I","Inactive","FENTRESS COUNTY GOVERNMENT","Airport Road ","-","Fentress","JAN-01-1983","863","SNL250000112","36.358472","-84.939353","-","-","LANDFILL - CLOSED","47744"
"D&S Land Company  Landfill","SNL260000039","CLASS I","Inactive","D&S LAND COMPANY","ESTILL SPRINGS","Winchester","Franklin","JAN-01-1972","864","SNL260000039","35.286694","-86.10475","-","-","LANDFILL","42365"
"Franklin County Landfill","SNL260000123","CLASS I","Inactive","FRANKLIN COUNTY GOVERNMENT","SR-16  1M E OF HWY 64  WINC","Winchester","Franklin","JAN-01-1976","865","SNL260000123","35.165685","-86.115831","-","-","LANDFILL - CLOSED","42299"
"Terra Renewal Services, Inc.","LND020000027","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","140 Harrison Road","Shelbyville","Bedford","AUG-04-2008","782","LND020000027","35.475688","-86.53566","37160","-","Land application of food processing residuals for agronomic benefits on Irene Mash property.","12458"
"Terra Renewal Services, Inc.","LND020000028","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Off Of Hwy 41A Near Mullins Mill Rd","Shelbyville","Bedford","AUG-04-2008","783","LND020000028","-","-","-","-","Land application of food processing residuals for agronomic benefits on Mid-State Finance (Field # M1 and # M2) property.","52056"
"Terra Renewal Services, Inc.","LND020000029","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Off Of Tn Hwy 64 Near Clanton Lane, ","Shelbyville","Bedford","AUG-04-2008","784","LND020000029","-","-","-","-","Land application of food processing residuals for agronomic benefits on Mid-State Finance (Field # M3, # M4, and # M5) property.","52057"
"Terra Renewal Services, Inc.","LND020000030","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","204 Coopertown Road","Unionville","Bedford","AUG-04-2008","785","LND020000030","35.633101","-86.548629","-","-","Land application of food processing residuals for agronomic benefits on Stacy Johnson property.","52058"
"Terra Renewal Services, Inc.","LND020000031","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","219 D. Martin Road","Shelbyville","Bedford","AUG-04-2008","786","LND020000031","35.384129","-86.536446","-","-","Land application of food processing residuals for agronomic benefits on Walker Batts property.","52059"
"Terra Renewal Services, Inc.","LND020000032","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Off Of Peacock Land North Side Near Old Nashville Dirt Rd","Shelbyville","Bedford","AUG-04-2008","787","LND020000032","-","-","-","-","Land application of food processing residuals for agronomic benefits on Doyle E. Wagster property.","52060"
"Terra Renewal Services, Inc.","LND020000033","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Intersection Of Bluestocking Hollow Rd And D. Martin Rd.","Shelbyville","Bedford","AUG-04-2008","788","LND020000033","-","-","-","-","Land application of food processing residuals for agronomic benefits on Wayne Simons property.","52075"
"Terra Renewal Services, Inc.","LND020000034","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Off Of Hwy 130 Approx .5 Mile Southeast Of Shelbyville","Shelbyville","Bedford","AUG-04-2008","789","LND020000034","-","-","-","-","Land application of food processing residuals for agronomic benefit on Fayne Parsons property.","52074"
"Terra Renewal Services, Inc.","LND020000037","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","239 Bill Russell Road","Normandy","Bedford","AUG-04-2008","790","LND020000037","35.463789","-86.310457","-","-","Land application of food processing residuals for agronomic benefits on Nelle Russell property.","52073"
"Terra Renewal Services Inc Sw-1","LND240000002","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","793","LND240000002","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-2","LND240000003","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","794","LND240000003","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-3-4-5","LND240000004","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","795","LND240000004","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-6-7-8","LND240000005","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","796","LND240000005","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-9","LND240000006","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","797","LND240000006","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-10","LND240000007","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","798","LND240000007","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-11","LND240000008","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","799","LND240000008","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Sw-12","LND240000009","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","800","LND240000009","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services Inc Jr - 1 Through 12","LND240000010","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","250 Longtown Road","Mason","Fayette","APR-24-2006","801","LND240000010","35.342059","-89.515409","-","-","-","43407"
"Terra Renewal Services (Trs), Inc","LND380000012","LAND APPLICATION","Active","TERRA RENEWAL SERVICES, INC.","Sturdivant Rd @ Hwy 54 N","Brownsville","Haywood","NOV-13-2006","802","LND380000012","-","-","-","-","-","52072"
"Dry Hollow Farms Site 1","LND670000043","LAND APPLICATION","Termination","DRY HOLLOW FARMS","Highway 84","Livingston","Overton","DEC-12-2008","805","LND670000043","-","-","-","-","-","52054"
"Dry Hollow Farms Site 2","LND670000044","LAND APPLICATION","Termination","DRY HOLLOW FARMS","Highway 84","Livingston","Overton","DEC-12-2008","806","LND670000044","-","-","-","-","-","52054"
"Dry Hollow Farms Site 3","LND670000045","LAND APPLICATION","Termination","DRY HOLLOW FARMS","Highway 84","Livingston","Overton","DEC-12-2008","807","LND670000045","-","-","-","-","-","52054"
"Synagro","LND790000013","LAND APPLICATION","Termination","SYNAGRO","5885 Jetway Drive","Arlington","Shelby","AUG-29-2007","808","LND790000013","35.2852","-89.6761","38002","-","-","20013"
"Synagro","LND790000014","LAND APPLICATION","Termination","SYNAGRO","5885 Jetway Drive","Arlington","Shelby","AUG-29-2007","809","LND790000014","35.2852","-89.6761","38002","-","-","20013"
"Pleasant Hill Convenience Center","CCC180000510","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","15 Old Claysville Road","Crossville","Cumberland","MAY-26-2005","107","CCC180000510","35.97235","-85.16098","-","-","-","51996"
"Rinnie Convenience Center","CCC180000511","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","12405 Highway 127 North","Crossville","Cumberland","MAY-26-2005","108","CCC180000511","36.11639","-85.0606","-","-","-","51997"
"Vandever Convenience Center","CCC180000512","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","5102 Vandever Road","Crossville","Cumberland","MAY-26-2005","109","CCC180000512","35.807248","-85.089124","-","-","-","39806"
"Woody Convenience Center","CCC180000513","CONVENIENCE","Active","CUMBERLAND COUNTY GOVERNMENT","7464 Highway 127 North","Crossville","Cumberland","MAY-26-2005","110","CCC180000513","36.04965","-85.05286","-","-","-","51998"
"Mta Bus Facility Convenience Center","CCC190000066","CONVENIENCE","Inactive","METRO GOV'T. OF NASHVILLE AND DAVIDSON CO.","Mta Bus Facility","Nashville","Davidson","MAR-11-1994","111","CCC190000066","36.158333","-86.766667","-","-","CONVENIENCE CLOSED","53663"
"Bells Bend Convenience Center","CCC190000129","CONVENIENCE","Inactive","METRO GOV'T. OF NASHVILLE AND DAVIDSON CO.","4107 Old Hickory Blvd., Bells Bend","Nashville","Davidson","MAY-31-1994","112","CCC190000129","36.15","-86.920833","-","-","CONVENIENCE RECYCLING","53664"
"Metro East Center Convenience Center","CCC190000167","CONVENIENCE","Active","METRO GOV'T. OF NASHVILLE/DAVIDSON CO.","930 Dr. Richard G. Adams Boulevard","Nashville","Davidson","SEP-01-1994","113","CCC190000167","36.207192","-86.746495","-","-","CONVENIENCE TIRES RECYCLING","51999"
"Anderson Lane Convenience Center","CCC190000168","CONVENIENCE","Active","METRO GOV'T. OF NASHVILLE AND DAVIDSON CO.","939 Anderson Lane","Nashville","Davidson","SEP-01-1994","114","CCC190000168","36.272778","-86.686389","-","-","CONVENIENCE TIRES RECYCLING","18510"
"Omohundro Convenience Center","CCC190000484","CONVENIENCE","Active","METRO NASHVILLE DEPT. OF PUBLIC WORKS","200 Omohundro Place","Nashville","Davidson","OCT-22-2003","115","CCC190000484","36.157486","-86.739845","-","-","-","52000"
"Fairgrounds Convenience Center","CCC200000191","CONVENIENCE","Active","DECATUR COUNTY GOVERNMENT","Decaturville","Decaturville","Decatur","DEC-12-1994","116","CCC200000191","35.625652","-88.117974","38329","-","CONVENIENCE RECYCLING","2284"
"Brodies Landing Road Convenience Center","CCC200000192","CONVENIENCE","Active","DECATUR COUNTY GOVERNMENT","Brodies Landing Road","Jeanette","Decatur","DEC-12-1994","117","CCC200000192","35.739209","-88.094814","-","-","CONVENIENCE RECYCLING","52001"
"Wiley Cemetery Road Convenience Center","CCC200000193","CONVENIENCE","Active","DECATUR COUNTY GOVERNMENT","Wiley Cemetary Road","Bath Springs","Decatur","DEC-12-1994","118","CCC200000193","35.439903","-88.156536","-","-","CONVENIENCE RECYCLING","52002"
"Mt. Lebanon Convenience Center","CCC200000194","CONVENIENCE","Active","DECATUR COUNTY GOVERNMENT","Mt. Lebanon Road","Decaturville","Decatur","DEC-12-1994","119","CCC200000194","35.571527","-88.042564","-","-","CONVENIENCE RECYCLING","52003"
"Bob'S Landing Convenience Center","CCC200000497","CONVENIENCE","Active","DECATUR COUNTY GOVERNMENT","715 Bob'S Landing Road","Bath Springs","Decatur","SEP-16-2004","120","CCC200000497","35.480557","-88.08856","-","-","-","52004"
"Cookeville Highway Convenience Center","CCC210000005","CONVENIENCE","Active","DEKALB COUNTY GOVERNMENT","Highway 56 North","Philippi","DeKalb","DEC-13-1993","121","CCC210000005","35.981508","-85.802862","-","-","CONVENIENCE","51967"
"Mcminnville Highway Convenience Center","CCC210000006","CONVENIENCE","Inactive","DEKALB COUNTY GOVERNMENT","Highway 56 South","McMinnville","DeKalb","DEC-13-1993","122","CCC210000006","35.899562","-85.811656","-","-","CONVENIENCE","53665"
"Elk Mills Convenience Center","CCC100000127","CONVENIENCE","Inactive","CARTER COUNTY GOVERNMENT","140 GREEN HOLLOW RD (off Hwy. 321 in Elk Mills and Poga area)","Butler","Carter","MAY-25-1994","45","CCC100000127","36.283183","-81.999562","37640","-","CONVENIENCE , Closed October 29th 2014","51968"
"Roan Mountain Convenience Center","CCC100000128","CONVENIENCE","Active","CARTER COUNTY GOVERNMENT","102 Old Rock Quarry Road
","Roan Mountain","Carter","MAY-25-1994","46","CCC100000128","36.20324","-82.081906","37687","-","CONVENIENCE","52005"
"Rock Quarry Convenience Center","CCC110000016","CONVENIENCE","Active","CHEATHAM COUNTY GOVERNMENT","Old Clarksville Pike","Pleasant View","Cheatham","DEC-13-1993","47","CCC110000016","36.279167","-87.043056","-","-","CONVENIENCE","52006"
"Fairground Convenience Center","CCC110000017","CONVENIENCE","Termination","CHEATHAM COUNTY GOVERNMENT","Fairground Road","Ashland City","Cheatham","DEC-13-1993","48","CCC110000017","36.356944","-87.038889","-","-","CONVENIENCE","53666"
"West Cheatham Convenience Center","CCC110000018","CONVENIENCE","Active","CHEATHAM COUNTY GOVERNMENT","Highway 12","Chapmansboro","Cheatham","DEC-13-1993","49","CCC110000018","36.343424","-87.172818","-","-","CONVENIENCE","52007"
"Cheatham County Landfill Convenience Center","CCC110000019","CONVENIENCE","Active","CHEATHAM COUNTY GOVERNMENT","2791 Sams Creek Road","Pegram","Cheatham","DEC-13-1993","50","CCC110000019","36.129907","-87.042243","-","-","CONVENIENCE TIRES TIRE STORAGE; HOUSEHOLD PAINT COLLECTION","48001"
"Ashland City Convenience Center","CCC110000473","CONVENIENCE","Active","CHEATHAM COUNTY GOVERNMENT","1039 Thompson Road","Ashland City","Cheatham","NOV-21-2002","51","CCC110000473","36.230301","-87.022022","-","-","-","52008"
"Henderson Collection Station Convenience Center","CCC120000003","CONVENIENCE","Active","CHESTER COUNTY GOVERNMENT","315 Talley Store Road","Henderson","Chester","DEC-13-1993","53","CCC120000003","35.449186","-88.596621","-","-","CONVENIENCE","49001"
"Cabo Convenience Station","CCC120000004","CONVENIENCE","Active","CHESTER COUNTY GOVERNMENT","Highway 22-A South","Jacks Creek","Chester","DEC-13-1993","54","CCC120000004","35.435235","-88.480542","-","-","CONVENIENCE WOOD YARD WASTE","52009"
"Hill Top Collection Station","CCC120000239","CONVENIENCE","Active","CHESTER COUNTY GOVERNMENT","120 New Friendship Rd","Henderson","Chester","MAR-24-1995","55","CCC120000239","35.517296","-88.598722","38340","-","CONVENIENCE RECYCLING","48002"
"Cave Springs Collection Station","CCC120000240","CONVENIENCE","Active","CHESTER COUNTY GOVERNMENT","1340 Cave Springs Road","Henderson","Chester","MAR-24-1995","56","CCC120000240","35.339969","-88.720364","-","-","CONVENIENCE RECYCLING","52010"
"Chickasaw Garbage Collection Center","CCC120000361","CONVENIENCE","Active","CHESTER COUNTY GOVERNMENT","6345 SR-100 West","Henderson","Chester","MAR-25-1996","57","CCC120000361","35.397742","-88.757332","-","-","CONVENIENCE","52011"
"Shawanee Convenience Center","CCC130000319","CONVENIENCE","Termination","CLAIBORNE COUNTY GOVERNMENT","Shawanee Road","Harrogate","Claiborne","NOV-07-1995","58","CCC130000319","36.566667","-83.65","-","-","CONVENIENCE CENTER","52012"
"Speedwell Convenience Center","CCC130000327","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","4421 Back Valley Road","Speedwell","Claiborne","JAN-12-1996","59","CCC130000327","36.445184","-83.862811","37870","-","CONVENIENCE RECYCLING","52013"
"Cedar Fork Convenience Center","CCC130000328","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","4206 Cedar Fork Road","Tazewell","Claiborne","JAN-12-1996","60","CCC130000328","36.529948","-83.45508","37879","-","CONVENIENCE RECYCLING","52014"
"Springdale Convenience Center","CCC130000329","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","US-25 East And SR-33","Tazewell","Claiborne","JAN-12-1996","61","CCC130000329","36.424826","-83.525231","37879","-","CONVENIENCE RECYCLING","52015"
"Tazewell Convenience Center","CCC130000330","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","Highway 33","Tazewell","Claiborne","JAN-12-1996","62","CCC130000330","36.448781","-83.570632","-","-","CONVENIENCE RECYCLING","52016"
"Clairfield Convenience Center","CCC130000331","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","Highway 90","Clairfield","Claiborne","JAN-12-1996","63","CCC130000331","36.572928","-83.918143","-","-","CONVENIENCE RECYCLING","52017"
"Powell Valley Convenience Center","CCC130000350","CONVENIENCE","Inactive","CLAIBORNE COUNTY GOVERNMENT","Pump Hollow Road","Speedwell","Claiborne","MAR-08-1996","64","CCC130000350","36.483333","-83.683333","-","-","CONVENIENCE","53667"
"Arthur Convenience Center","CCC130000351","CONVENIENCE","Inactive","CLAIBORNE COUNTY GOVERNMENT","Bug Hole Road","Cumberland Gap","Claiborne","MAR-08-1996","65","CCC130000351","36.536111","-83.683333","-","-","CONVENIENCE","53668"
"New Tazewell Lynch Street Convenience Center","CCC130000352","CONVENIENCE","Inactive","CLAIBORNE COUNTY GOVERNMENT","Lynch Street","New Tazewell","Claiborne","MAR-08-1996","66","CCC130000352","36.416667","-83.616667","-","-","CONVENIENCE","52018"
"New Tazewell Convenience Center","CCC130000396","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","Highway 33","New Tazewell","Claiborne","DEC-19-1996","67","CCC130000396","36.419331","-83.646373","-","-","CONVENIENCE","52020"
"Sunnyside Convenience Center","CCC130000467","CONVENIENCE","Active","CLAIBORNE COUNTY GOVERNMENT","2144 Highway 63","Cumberland Gap","Claiborne","OCT-17-2001","68","CCC130000467","36.530748","-83.707645","37724","-","COLLECTION OF HOUSEHOLD GARBAGE","52021"
"Celina Convenience Center","CCC140000100","CONVENIENCE","Inactive","CLAY COUNTY","Brown Street","Celina","Clay","APR-27-1994","69","CCC140000100","36.548054","-85.505321","-","-","CONVENIENCE","53669"
"Clay County Industrial Park Road","CCC140000524","CONVENIENCE","Active","CLAY COUNTY","169 Industrial Park Road","Celina","Clay","JAN-12-2007","70","CCC140000524","36.51906","-85.538493","38551","-","-","52022"
